	CNAC: BLCA	CNAC: BRCA	CNAC: CESC	CNAC: COAD	CNAC: ESCA	CNAC: HNSC	CNAC: KIRC	CNAC: KIRP	CNAC: LIHC	CNAC: LUAD	CNAC: LUSC	CNAC: PRAD	CNAC: READ	CNAC: STAD	CNAC: THCA	CNAC: UCEC	CNAS: BLCA	CNAS: BRCA	CNAS: CESC	CNAS: COAD	CNAS: ESCA	CNAS: HNSC	CNAS: KIRC	CNAS: KIRP	CNAS: LIHC	CNAS: LUAD	CNAS: LUSC	CNAS: PRAD	CNAS: READ	CNAS: STAD	CNAS: THCA	CNAS: UCEC
ARHGEF10	509.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	119.0	262.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	119.0
CLDN23	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
CLN8	509.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	119.0	262.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	119.0
CSMD1	509.0	568.0	115.0	192.0	94.0	309.0	165.0	0.0	253.0	263.0	346.0	232.0	104.0	0.0	9.0	119.0	262.0	568.0	115.0	192.0	94.0	309.0	165.0	0.0	253.0	263.0	346.0	232.0	104.0	0.0	5.0	119.0
DEFA1	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
DEFA10P	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
DEFA11P	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
DEFA1B	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
DEFA3	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
DEFA4	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
DEFA5	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
DEFA6	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
DEFA8P	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
DEFA9P	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
DEFB1	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
DEFB103A	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
DEFB104A	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
DEFB105A	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
DEFB106A	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
DEFB107A	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
DEFB109P1	509.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	177.0	5.0	0.0	262.0	0.0	0.0	0.0	50.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	177.0	5.0	0.0
DEFB109P1B	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
DEFB4A	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
DEFB4B	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
DEFT1P	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
DLGAP2	509.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	119.0	262.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	119.0
DLGAP2-AS1	509.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	119.0	262.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	119.0
ERI1	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
ERICH1	509.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	136.0	5.0	119.0	262.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	136.0	5.0	119.0
ERICH1-AS1	509.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	136.0	5.0	119.0	262.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	136.0	5.0	119.0
FAM66B	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
FAM66E	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
FAM86B3P	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
FAM87A	509.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	136.0	5.0	119.0	262.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	136.0	5.0	119.0
FAM90A10P	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
FAM90A7P	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
FBXO25	509.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	136.0	5.0	119.0	262.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	136.0	5.0	119.0
GS1-24F4.2	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
KBTBD11	509.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	119.0	262.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	119.0
KBTBD11-OT1	509.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	119.0	262.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	119.0
LINC00965	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
LOC100287015	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	9.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
LOC101927752	509.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	119.0	262.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	119.0
LOC101927815	509.0	568.0	115.0	192.0	94.0	309.0	165.0	0.0	253.0	263.0	346.0	232.0	104.0	0.0	9.0	119.0	262.0	568.0	115.0	192.0	94.0	309.0	165.0	0.0	253.0	263.0	346.0	232.0	104.0	0.0	5.0	119.0
LOC101928058	509.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	119.0	262.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	119.0
LOC101929128	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
LOC157273	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
LOC286083	509.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	136.0	5.0	119.0	262.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	136.0	5.0	119.0
LOC401442	509.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	136.0	5.0	119.0	262.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	136.0	5.0	119.0
MCPH1	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
MCPH1-AS1	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
MFHAS1	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
MIR3674	509.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	119.0	262.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	119.0
MIR4659A	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
MIR4659B	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
MIR4660	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
MIR548I3	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
MIR596	509.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	119.0	262.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	119.0
MIR597	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
MIR7160	509.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	119.0	262.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	119.0
MIR8055	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
MYOM2	509.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	119.0	262.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	119.0
OR4F21	509.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	136.0	5.0	119.0	262.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	136.0	5.0	119.0
PPP1R3B	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
PRR23D1	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
PRR23D2	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
RPL23AP53	509.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	136.0	5.0	119.0	262.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	136.0	5.0	119.0
SGK223	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
SPAG11A	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
SPAG11B	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
TDRP	509.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	136.0	5.0	119.0	262.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	136.0	5.0	119.0
USP17L1	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
USP17L3	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
USP17L4	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
USP17L8	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
XKR5	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
ZNF596	509.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	136.0	5.0	119.0	262.0	0.0	115.0	192.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	136.0	5.0	119.0
ZNF705B	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
ZNF705G	509.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0	262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	5.0	0.0
LINC01288	465.0	0.0	0.0	156.0	74.0	0.0	126.0	0.0	0.0	283.0	0.0	0.0	0.0	0.0	5.0	72.0	270.0	0.0	0.0	156.0	74.0	0.0	126.0	0.0	0.0	283.0	0.0	0.0	0.0	0.0	5.0	72.0
LOC101929550	465.0	0.0	0.0	156.0	74.0	0.0	126.0	0.0	0.0	283.0	0.0	0.0	71.0	0.0	5.0	72.0	270.0	0.0	0.0	156.0	74.0	0.0	126.0	0.0	0.0	283.0	0.0	0.0	71.0	0.0	5.0	72.0
UNC5D	465.0	0.0	0.0	156.0	74.0	0.0	126.0	0.0	0.0	283.0	0.0	0.0	71.0	0.0	5.0	72.0	270.0	0.0	0.0	156.0	74.0	0.0	126.0	0.0	0.0	283.0	0.0	0.0	71.0	0.0	5.0	72.0
ANK1	388.0	0.0	64.0	0.0	149.0	0.0	126.0	0.0	0.0	178.0	0.0	178.0	96.0	0.0	5.0	159.0	303.0	0.0	64.0	0.0	126.0	0.0	126.0	0.0	0.0	178.0	0.0	178.0	92.0	0.0	5.0	159.0
AP3M2	388.0	0.0	64.0	187.0	149.0	0.0	126.0	0.0	0.0	178.0	0.0	178.0	26.0	0.0	5.0	0.0	303.0	0.0	64.0	187.0	126.0	0.0	126.0	0.0	0.0	178.0	0.0	178.0	26.0	0.0	5.0	0.0
KAT6A	388.0	0.0	64.0	187.0	149.0	0.0	126.0	0.0	0.0	178.0	0.0	178.0	26.0	0.0	5.0	159.0	303.0	0.0	64.0	187.0	126.0	0.0	126.0	0.0	0.0	178.0	0.0	178.0	26.0	0.0	5.0	159.0
LOC105379393	388.0	0.0	64.0	187.0	149.0	0.0	126.0	0.0	0.0	178.0	0.0	178.0	26.0	0.0	5.0	159.0	303.0	0.0	64.0	187.0	126.0	0.0	126.0	0.0	0.0	178.0	0.0	178.0	26.0	0.0	5.0	159.0
PLAT	388.0	0.0	0.0	187.0	149.0	0.0	126.0	0.0	0.0	178.0	0.0	178.0	26.0	0.0	5.0	0.0	303.0	0.0	0.0	187.0	126.0	0.0	126.0	0.0	0.0	178.0	0.0	178.0	26.0	0.0	5.0	0.0
ADGRA2	377.0	0.0	0.0	156.0	74.0	0.0	126.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	5.0	72.0	301.0	0.0	0.0	156.0	74.0	0.0	126.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	5.0	72.0
ERLIN2	377.0	419.0	0.0	306.0	74.0	0.0	126.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	5.0	72.0	301.0	419.0	0.0	273.0	74.0	0.0	126.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	5.0	72.0
